44 8 6 2 21 12 9 25 11 20 18 13 7 14 1 16 22 28 29 23 0 3 10 4 5 19 15 27 24 26 17
45 8 6 2 21 12 9 25 11 20 18 13 7 14 1 16 22 28 29 23 0 3 10 4 5 19 15 27 24 26 17
46 8 6 2 21 12 9 25 11 20 18 13 7 14 1 16 22 28 29 23 0 3 10 4 5 19 15 27 24 26 17
47 8 6 2 21 12 9 25 11 20 18 13 7 28 22 29 0 1 23 14 16 3 10 19 5 15 27 4 24 26 17
48 8 6 2 21 12 9 25 11 20 18 13 7 28 22 29 0 1 23 14 16 3 10 19 5 15 27 4 24 26 17
49 8 6 2 21 12 9 25 11 20 18 13 7 14 1 28 22 29 0 23 16 3 10 19 5 15 27 4 24 26 17
50 8 6 2 21 12 9 25 11 20 18 13 7 14 1 28 22 29 0 23 16 3 10 19 5 15 27 4 24 26 17
51 8 6 2 21 12 9 25 11 20 18 13 7 14 1 28 22 29 0 23 16 3 10 19 5 15 27 4 24 26 17
52 8 6 2 21 12 9 25 11 20 18 13 7 14 1 28 22 29 0 23 16 3 10 19 5 15 27 4 24 26 17
53 8 6 2 21 12 9 25 11 20 18 13 7 14 1 28 22 29 0 23 16 3 10 5 19 15 17 4 27 24 26
54 8 6 2 21 12 9 25 11 20 18 13 7 14 1 28 22 29 0 23 16 3 10 4 15 5 19 17 24 27 26
55 24 26 8 2 6 25 21 12 9 11 20 18 13 7 14 1 16 28 22 29 0 23 3 10 5 19 15 17 4 27
56 24 26 8 2 6 25 21 12 9 11 20 18 13 7 14 1 16 28 22 29 0 23 3 10 5 19 15 17 4 27
57 24 26 8 2 6 25 21 12 9 11 18 13 20 7 14 1 29 0 23 28 22 16 3 10 5 19 15 17 27 4
58 24 26 8 2 6 25 21 12 9 11 18 13 20 7 14 1 29 0 23 28 22 16 3 10 4 17 15 5 19 27
59 8 6 2 21 12 9 25 11 18 13 20 7 14 1 29 0 23 28 22 16 3 10 24 26 4 27 17 19 5 15
60 8 6 2 21 12 9 25 11 18 13 20 7 14 1 29 0 23 28 22 16 3 10 24 26 4 27 17 19 5 15
61 24 26 8 2 6 25 21 12 9 11 18 13 20 7 14 1 29 0 23 28 22 16 3 10 4 5 19 15 17 27
62 24 26 8 2 6 25 21 12 9 11 18 13 20 7 28 29 22 23 0 1 14 16 3 10 4 15 5 19 17 27
63 24 26 8 2 6 25 21 12 9 11 18 13 20 7 28 29 22 23 0 1 14 16 3 10 4 15 5 19 17 27
64 24 26 8 2 6 25 21 12 9 11 18 13 20 7 28 29 22 23 0 1 14 16 3 10 4 15 5 19 17 27
